code_iata;icao_code;timezone;gmt_offset;raw_offset;dst_offset;name;ordre
ISS;KIWI;America/New_York;-5;-5;-4;Wiscasset Airport;4324
JJU;BGJH;America/Nuuk;-2;-2;-1;Qaqortoq Heliport;4325
KHM;VYKI;Asia/Yangon;6,5;6,5;6,5;Kanti Airport;4326
KLS;KKLS;America/Los_Angeles;-8;-8;-7;Southwest Washington Regional Airport;4327
KNI;YKNG;Australia/Perth;8;8;8;Katanning Airport;4328
KNT;KTKX;America/Chicago;-6;-6;-5;Kennett Memorial Airport;4329
KXB;WAWP;Asia/Makassar;8;8;8;Sangia Nibandera Airport;4330
KZB;;;;;;;4331
LAK;CYKD;America/Edmonton;-7;-7;-6;Aklavik/Freddie Carmichael Airport;4332
LBT;KLBT;America/New_York;-5;-5;-4;Lumberton Regional Airport;4333
LKZ;EGUL;Europe/London;0;0;1;Lakenheath Royal Air Force Base;4334
LLK;UBBL;Asia/Baku;4;4;4;Lankaran International Airport;4335
LLY;KVAY;America/New_York;-5;-5;-4;South Jersey Regional Airport;4336
LNB;NVSM;Pacific/Efate;11;11;11;Lamen Bay Airport;4337
LNE;NVSO;Pacific/Efate;11;11;11;Lonorore Airport;4338
LNU;WALM;Asia/Makassar;8;8;8;Malinau Robert Atty Bessing Airport;4339
LSW;WITM;Asia/Jakarta;7;7;7;Lhokseumawe / Malikussaleh;4340
MCB;KMCB;America/Chicago;-6;-6;-5;Mc Comb/Pike County Airport/John E Lewis Field;4341
MJE;;;;;;;4342
MLC;KMLC;America/Chicago;-6;-6;-5;McAlester Regional Airport;4343
MMP;;;;;;;4344
MNS;FLMA;Africa/Lusaka;2;2;2;Mansa Airport;4345
MOU;PAMO;America/Nome;-9;-9;-8;Mountain Village Airport;4346
MUA;AGGM;Pacific/Guadalcanal;11;11;11;Munda;4347
MZW;DAAY;Africa/Algiers;1;1;1;Cheikh Bouamama Airport;4348
NLT;ZWNL;Asia/Urumqi;6;6;6;Nalati Airport;4349
NZL;ZBZL;Asia/Shanghai;8;8;8;Zhalantun Chengjisihan Airport;4350
OHE;ZYMH;Asia/Shanghai;8;8;8;Mohe Gulian Airport;4351
OKU;FYMO;Africa/Windhoek;2;1;2;Mokuti Lodge Airport;4352
PCD;KPDC;America/Chicago;-6;-6;-5;Prairie du Chien Municipal Airport;4353
PHT;KPHT;America/Chicago;-6;-6;-5;Henry County Airport;4354
POB;KPOB;America/New_York;-5;-5;-4;Pope Field;4355
PTS;KPTS;America/Chicago;-6;-6;-5;Atkinson Municipal Airport;4356
QCC;;;;;;;4357
QHK;;;;;;;4358
QKN;DTTK;Africa/Tunis;1;1;1;Kairouan;4359
QLC;;;;;;;4360
QMZ;;;;;;;4361
QOM;;;;;;;4362
QOP;;;;;;;4363
QQE;;;;;;;4364
QQJ;;;;;;;4365
QQP;;;;;;;4366
QSZ;ZWSC;Asia/Urumqi;6;6;6;Shache Yeerqiang Airport;4367
QTS;;;;;;;4368
QTW;;;;;;;4369
RHD;SANR;America/Argentina/Cordoba;-3;-3;-3;Las Termas Airport;4370
RRK;VERK;Asia/Kolkata;5,5;5,5;5,5;Rourkela Airport;4371
RTG;WATG;Asia/Makassar;8;8;8;Frans Sales Lega Airport;4372
SEG;KSEG;America/New_York;-5;-5;-4;Penn Valley Airport;4373
SEK;UESK;Asia/Magadan;11;11;11;Srednekolymsk Airport;4374
SET;SNHS;America/Recife;-3;-3;-3;Serra Talhada/Santa Magalhaes Airport;4375
SGH;KSGH;America/New_York;-5;-5;-4;Springfield-Beckley Municipal Airport;4376
SIY;KSIY;America/Los_Angeles;-8;-8;-7;Siskiyou County Airport;4377
SJL;SBUA;America/Boa_Vista;-4;-4;-4;Sao Gabriel Da Cachoeira Airport;4378
SLH;NVSC;Pacific/Efate;11;11;11;Sola Airport;4379
SLR;KSLR;America/Chicago;-6;-6;-5;Sulphur Springs Municipal Airport;4380
SSF;KSSF;America/Chicago;-6;-6;-5;Stinson Municipal Airport;4381
SXK;WAPI;Asia/Jayapura;9;9;9;Olilit-Saumlaki Airport;4382
SXQ;PASX;America/Anchorage;-9;-9;-8;Soldotna Airport;4383
TEV;LETL;Europe/Madrid;1;1;2;Teruel Airport;4384
TKP;NTGT;Pacific/Tahiti;-10;-10;-10;Takapoto Airport;4385
